iter	Passed	Remaining
0	4	401
1	7	355
2	10	338
3	13	313
4	16	309
5	19	306
6	22	302
7	25	298
8	29	300
9	32	296
10	35	285
11	37	273
12	39	262
13	41	252
14	43	244
15	44	235
16	46	228
17	48	222
18	51	219
19	53	214
20	55	209
21	57	204
22	59	199
23	61	194
24	63	190
25	65	186
26	67	182
27	69	178
28	71	174
29	73	170
30	74	166
31	76	163
32	78	159
33	80	156
34	82	153
35	84	149
36	86	146
37	88	143
38	89	140
39	91	137
40	93	134
41	94	130
42	96	127
43	97	124
44	99	121
45	101	118
46	102	115
47	104	112
48	105	110
49	107	107
50	109	105
51	111	102
52	112	100
53	114	97
54	115	94
55	117	92
56	119	89
57	120	87
58	122	85
59	124	82
60	125	80
61	127	78
62	129	75
63	130	73
64	132	71
65	134	69
66	136	67
67	137	64
68	139	62
69	141	60
70	142	58
71	144	56
72	146	54
73	148	52
74	149	49
75	151	47
76	153	45
77	154	43
78	156	41
79	158	39
80	160	37
81	161	35
82	163	33
83	165	31
84	167	29
85	168	27
86	170	25
87	171	23
88	173	21
89	175	19
90	177	17
91	178	15
92	180	13
93	182	11
94	184	9
95	186	7
96	187	5
97	189	3
98	191	1
99	193	0
