iter	Passed	Remaining
0	130	130246
1	132	66113
2	134	44648
3	136	33869
4	137	27389
5	139	23081
6	140	19975
7	142	17679
8	144	15897
9	146	14523
10	148	13342
11	149	12343
12	151	11524
13	153	10799
14	154	10166
15	156	9612
16	158	9138
17	159	8709
18	161	8345
19	163	8007
20	165	7711
21	167	7440
22	168	7176
23	170	6940
24	172	6721
25	174	6520
26	175	6339
27	177	6166
28	179	6005
29	181	5853
30	182	5717
31	184	5584
32	186	5465
33	188	5350
34	190	5248
35	192	5150
36	194	5054
37	196	4966
38	198	4882
39	199	4796
40	201	4710
41	202	4629
42	204	4553
43	207	4498
44	208	4432
45	210	4365
46	211	4297
47	213	4233
48	215	4180
49	217	4125
50	218	4071
51	220	4022
52	222	3980
53	224	3931
54	226	3886
55	227	3841
56	229	3795
57	231	3752
58	232	3711
59	234	3670
60	236	3634
61	238	3605
62	239	3568
63	241	3535
64	243	3502
65	245	3468
66	246	3435
67	248	3403
68	249	3370
69	252	3355
70	254	3330
71	256	3302
72	257	3273
73	259	3246
74	261	3220
75	262	3192
76	264	3167
77	265	3140
78	268	3133
79	270	3111
80	272	3089
81	274	3071
82	275	3044
83	277	3028
84	279	3007
85	281	2987
86	283	2977
87	285	2956
88	287	2939
89	288	2920
90	290	2900
91	292	2881
92	293	2864
93	295	2846
94	298	2840
95	299	2823
96	301	2808
97	303	2791
98	304	2775
99	306	2759
100	308	2743
101	309	2729
102	312	2724
103	314	2713
104	316	2699
105	318	2683
106	319	2667
107	321	2653
108	322	2639
109	324	2628
110	327	2620
111	329	2611
112	331	2600
113	333	2588
114	334	2575
115	336	2563
116	337	2548
117	339	2535
118	340	2523
119	344	2523
120	345	2512
121	347	2498
122	348	2486
123	350	2474
124	351	2462
125	353	2453
126	355	2441
127	357	2435
128	359	2427
129	360	2415
130	362	2402
131	363	2389
132	364	2376
133	365	2363
134	366	2349
135	367	2335
136	368	2322
137	369	2309
138	370	2295
139	372	2286
140	373	2276
141	374	2264
142	375	2252
143	376	2240
144	378	2228
145	378	2216
146	379	2202
147	380	2189
148	381	2176
149	381	2164
150	382	2151
151	383	2138
152	384	2126
153	384	2113
154	385	2101
155	386	2093
156	388	2084
157	389	2073
158	389	2062
159	390	2050
160	390	2037
161	391	2025
162	392	2014
163	393	2003
164	393	1992
165	394	1981
166	395	1971
167	395	1960
168	396	1950
169	397	1939
170	397	1928
171	398	1918
172	399	1908
173	399	1898
174	400	1888
175	402	1883
176	403	1875
177	404	1866
178	404	1857
179	405	1847
180	406	1837
181	406	1828
182	407	1819
183	408	1810
184	408	1801
185	409	1792
186	410	1783
187	410	1774
188	411	1766
189	412	1758
190	413	1749
191	413	1742
192	414	1734
193	415	1725
194	416	1720
195	418	1714
196	418	1707
197	419	1700
198	420	1692
199	421	1684
200	421	1676
201	422	1669
202	423	1661
203	423	1653
204	424	1646
205	425	1638
206	425	1631
207	426	1624
208	427	1617
209	427	1610
210	428	1603
211	429	1595
212	430	1588
213	431	1585
214	433	1581
215	433	1574
216	434	1568
217	435	1561
218	436	1554
219	436	1548
220	437	1541
221	437	1534
222	438	1528
223	439	1522
224	440	1515
225	440	1509
226	441	1503
227	442	1497
228	443	1492
229	444	1486
230	444	1481
231	446	1478
232	447	1474
233	448	1468
234	449	1463
235	450	1457
236	450	1451
237	451	1445
238	452	1439
239	452	1433
240	453	1427
241	454	1422
242	454	1416
243	455	1410
244	456	1405
245	456	1400
246	457	1394
247	458	1389
248	458	1383
249	459	1378
250	461	1376
251	462	1372
252	463	1367
253	464	1362
254	464	1357
255	465	1352
256	466	1347
257	466	1342
258	467	1337
259	468	1332
260	468	1327
261	469	1322
262	470	1317
263	471	1313
264	471	1308
265	472	1303
266	472	1298
267	473	1293
268	474	1288
269	476	1287
270	477	1284
271	478	1279
272	478	1275
273	479	1271
274	480	1266
275	481	1262
276	482	1258
277	482	1254
278	483	1249
279	484	1245
280	485	1241
281	485	1236
282	486	1232
283	487	1228
284	487	1223
285	488	1219
286	489	1215
287	490	1213
288	492	1211
289	493	1207
290	493	1203
291	494	1198
292	495	1194
293	495	1190
294	496	1186
295	496	1182
296	497	1177
297	498	1173
298	499	1169
299	499	1166
300	500	1162
301	501	1158
302	501	1154
303	502	1150
304	503	1146
305	503	1142
306	504	1138
307	506	1137
308	507	1134
309	507	1130
310	508	1126
311	509	1122
312	509	1118
313	510	1115
314	511	1111
315	511	1107
316	512	1104
317	513	1100
318	513	1096
319	514	1093
320	515	1089
321	515	1085
322	516	1082
323	516	1078
324	517	1074
325	518	1071
326	518	1067
327	519	1064
